Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago,user
0.0,Mon Sep 24 16:26:11 +0000 2018,1.0,0.0,0.0,1044261724063518720,"RT @BBCOne: We're doing this to the letter, fellas. #LineOfDuty is back in t-w-e-n-t-y n-i-n-e-t-e-e-n. @martin_compston @Vicky_McClure htt…",60,@BBC
0.5965,Sat Sep 22 10:04:05 +0000 2018,0.796,0.0,0.204,1043440789240598528,'I've had so much support from mums who thought that they couldn't do anything for themselves straight after they h… https://t.co/iKgJY3L64W,61,@BBC
0.4574,Sat Sep 22 09:03:08 +0000 2018,0.87,0.0,0.13,1043425452155707392,"Do you have any pictures of your family at Stonehenge? 

📷 👨‍👩‍👦‍👦 @EnglishHeritage needs your help! 

https://t.co/MxpcFHCYlq",62,@BBC
0.0,Sat Sep 22 08:01:06 +0000 2018,1.0,0.0,0.0,1043409842914902016,"Oops! 🤦‍♀️✈️

An airline has had to send a plane back to the paint shop after the company's name was spelled incorr… https://t.co/PtaEH3CPXf",63,@BBC
0.4019,Sat Sep 22 07:31:05 +0000 2018,0.881,0.0,0.119,1043402288201719808,"Many yoghurts are full of sugar and the public should not be lulled into thinking they are eating healthy products,… https://t.co/RJysRsxaZD",64,@BBC
0.5093,Sat Sep 22 07:02:05 +0000 2018,0.852,0.0,0.148,1043394988569227264,"The black-footed cat is the deadliest (but cutest?!) wild cat in the world. 😻 #BigCats 

https://t.co/FjFZDR7bZ8",65,@BBC
0.8957,Fri Sep 21 19:10:09 +0000 2018,0.671,0.0,0.329,1043215824029470721,"RT @BBCRadio1PR: Mum always knows best 👼 @RayBLK_ reveals who inspires her as she heads out on the #1XtraLive Inspire ME tour

#inspireme h…",66,@BBC
0.2481,Fri Sep 21 18:03:06 +0000 2018,0.895,0.0,0.105,1043198953263644673,"""Everybody will see this and think that I'm a trillionaire!""

After students gave their university cleaner £1,500 s… https://t.co/n2N1cHJky0",67,@BBC
0.836,Fri Sep 21 17:03:01 +0000 2018,0.695,0.0,0.305,1043183833129132032,"""Working on this project has been a tremendous labour of love"" 📖💕🥘

Meghan Markle celebrated the launch of her Gren… https://t.co/vbPiUJw3sr",68,@BBC
0.3612,Fri Sep 21 16:01:00 +0000 2018,0.815,0.0,0.185,1043168223917555713,Jumping into the weekend like... 😼 #FridayFeeling https://t.co/vdWEXCzlSI,69,@BBC
0.802,Fri Sep 21 15:41:21 +0000 2018,0.699,0.0,0.301,1043163280334876673,"RT @bbc5live: Today, we said goodbye to our dear colleague and friend Rachael Bland.
 
#RaiseAGlassToRach is our way of giving a big burst…",70,@BBC
0.0,Fri Sep 21 15:02:03 +0000 2018,1.0,0.0,0.0,1043153389532733441,"We'd totally swipe right for a @Drake and @joshgroban collaboration! 🎶🎤

https://t.co/hpCSuIRqcB",71,@BBC
0.4926,Fri Sep 21 14:00:14 +0000 2018,0.76,0.076,0.164,1043137834041978882,"“I basically invented Come Dine With Me!” 😂

10 things you didn’t know about @petercrouch ➡️… https://t.co/CZGm2Rqm7I",72,@BBC
-0.1779,Fri Sep 21 13:01:07 +0000 2018,0.841,0.159,0.0,1043122953838358530,"We're officially obsessed with Hansel the armadillo. 😍@katehumble #AnimalPark 

 https://t.co/C7i5hEMPMG",73,@BBC
0.5859,Fri Sep 21 11:02:04 +0000 2018,0.759,0.0,0.241,1043092993899679744,"😍🐶👮 Meet the cutest and newest recruits for Chile's national police force...

https://t.co/zbJZRdrUbD",74,@BBC
0.0,Fri Sep 21 10:02:06 +0000 2018,1.0,0.0,0.0,1043077904635244545,".@StaceyDooley meets the family prepping for the apocalypse. (Via @BBCThree) 

https://t.co/IZE9vJTDCy",75,@BBC
0.0,Fri Sep 21 09:02:06 +0000 2018,1.0,0.0,0.0,1043062805224742913,"😳🌬👕 Extreme Laundry is NOT for the faint hearted... 

https://t.co/1N9jAKP2c4",76,@BBC
0.0,Fri Sep 21 07:55:01 +0000 2018,1.0,0.0,0.0,1043045923566174210,✈️Airline Cathay Pacific has had to send a plane back to the paint shop after the company's name was spelled incorr… https://t.co/rY5SsBEsuf,77,@BBC
0.8934,Fri Sep 21 07:48:00 +0000 2018,0.592,0.0,0.408,1043044158850691072,"RT @BBC6Music: Have you heard this year’s @MercuryPrize winning album?

📼 Visions of a live show: Watch Mercury Prize winners Wolf Alice’s…",78,@BBC
0.0,Fri Sep 21 07:32:05 +0000 2018,1.0,0.0,0.0,1043040149850836992,"Do you Tolstoy on the treadmill? Christie on the commute? Kipling in the kitchen?

Here are 13 reasons why listenin… https://t.co/DoKcev0DyQ",79,@BBC
0.4939,Fri Sep 21 07:03:06 +0000 2018,0.833,0.0,0.167,1043032859471015936,"""He was dissing me and then laughing his head off."" 😂👑

When Prince Harry met @PeterCrouch... 

https://t.co/BYAEWcmlcK",80,@BBC
0.0,Sun Sep 16 16:02:03 +0000 2018,1.0,0.0,0.0,1041356548994424832,From Viola Davis to Robert Pattinson: these are the stars who 'regret' their big roles. https://t.co/jfEkKsKryO https://t.co/yD6fxIOBXg,81,@BBC
0.0,Sun Sep 16 15:03:04 +0000 2018,1.0,0.0,0.0,1041341706157936640,"""You cannot make clothes without pockets!"" 

Miriam getting a makeover is everything. ❤️️

https://t.co/WfjTPgFROW",82,@BBC
-0.1531,Sun Sep 16 14:04:05 +0000 2018,0.676,0.176,0.149,1041326861190610944,A new scientific study suggests that there are strong similarities between near death experiences and psychedelic d… https://t.co/xgw82FQzeZ,83,@BBC
0.0,Sun Sep 16 14:01:39 +0000 2018,1.0,0.0,0.0,1041326249375924224,RT @BBCSport: We ❤️ Vera! https://t.co/4jTELqBPBv,84,@BBC
0.5983,Sun Sep 16 13:02:01 +0000 2018,0.777,0.0,0.223,1041311242399432704,"This is unbelievable! 👕📲️⚽️

Sam is 17 and sells clothes to the likes of @paulpogba, @kylewalker2 and @aubameyang7.

https://t.co/OcXmoK4IlQ",85,@BBC
-0.7717,Sun Sep 16 11:02:07 +0000 2018,0.717,0.283,0.0,1041281068480036864,"""If someone offered me my arms back, I wouldn't take them"".

Seok Chang-woo lost both arms in a horrific accident,… https://t.co/32iRbW38uV",86,@BBC
0.5574,Sun Sep 16 10:03:03 +0000 2018,0.66,0.0,0.34,1041266205271711744,"😂😂😂 @kenjeong's laugh is ICONIC. 

@crazyrichmovie @aliplumb

https://t.co/WQu5bdPeQP",87,@BBC
0.6588,Sun Sep 16 09:50:43 +0000 2018,0.747,0.0,0.253,1041263098680799233,"Space race! 🚀🏃⭐️

@usainbolt is just as great at running in zero gravity...

https://t.co/JRVh3a5TZZ",88,@BBC
0.4588,Sun Sep 16 08:37:46 +0000 2018,0.875,0.0,0.125,1041244743177527297,"RT @bbcthree: All your fav bits from Ep 1 in one tasty vid.

The #KillingEve boxset is on BBC Three iPlayer now. https://t.co/Fzw1UJZApc",89,@BBC
0.0,Sun Sep 16 08:03:03 +0000 2018,1.0,0.0,0.0,1041236006471704576,“Singapore is a character in this film”: @gemma_chan talks to Steve Wright about her role in #CrazyRichAsians. 🎬🍿… https://t.co/A2AjFScRV0,90,@BBC
-0.25,Sun Sep 16 07:32:07 +0000 2018,0.556,0.257,0.188,1041228221910589440,Can cold water swimming treat depression? 💙 https://t.co/iGy1AyPJ0V https://t.co/hXu5SFpgTn,91,@BBC
0.6249,Sun Sep 16 07:02:03 +0000 2018,0.63,0.104,0.266,1041220651946844162,"These beautiful fish have devastating effects on their habitat, but @reef_org are working to save Miami's coastal w… https://t.co/qXCjAfHtix",92,@BBC
0.4019,Sat Sep 15 21:03:05 +0000 2018,0.895,0.0,0.105,1041069919469797378,"🐮🤔🐐 Do you know your beef from your GOAT? 

💬 Police have compiled a list of slang words to help them understand te… https://t.co/Zw5LGI8bVv",93,@BBC
-0.91,Sat Sep 15 19:14:04 +0000 2018,0.511,0.489,0.0,1041042483826843649,"Spying, obsession, murder. @iamsandraoh and @jodiecomer star in Killing Eve. 

#KillingEve | 9:15pm | @BBCOne |… https://t.co/fQDJ2Pc0Az",94,@BBC
0.4404,Sat Sep 15 17:49:36 +0000 2018,0.791,0.0,0.209,1041021225726894081,RT @bbcthree: This is truly magical: Sue and her underwater wheelchair. https://t.co/CRXs4SlmvL,95,@BBC
0.4215,Sat Sep 15 17:03:02 +0000 2018,0.817,0.0,0.183,1041009509869801472,"Celebrity dancers from the past 15 years share the inside scoop on their @bbcstrictly experience... 💃🕺✨

Strictly C… https://t.co/UlbvXy2MHj",96,@BBC
-0.5106,Sat Sep 15 16:05:05 +0000 2018,0.798,0.202,0.0,1040994926916501505,"☕️ ‘Why I rejected Costa Coffee’s £120k offer for my roadside café’. 

📻👉 https://t.co/RSJYIVt5zs https://t.co/mjLYBMHFto",97,@BBC
0.1007,Sat Sep 15 15:04:01 +0000 2018,0.92,0.0,0.08,1040979556079988737,"What a shot!  😲📷🐟

This photographer captured an image of a heron eating a fish that's eating another fish. 

https://t.co/6Gm608h6n0",98,@BBC
-0.4404,Sat Sep 15 14:03:04 +0000 2018,0.879,0.121,0.0,1040964216709165056,"The head of a major music label in South Korea has denied reports HyunA and E'Dawn, two members of the pop trio… https://t.co/veTBbeS7MI",99,@BBC
0.0,Sat Sep 15 13:02:04 +0000 2018,1.0,0.0,0.0,1040948866240139264,"With a suit, shirt and a pair of shoes, Maria can make a life-changing difference. 👔

https://t.co/rdmt94Cuh7",100,@BBC
0.0,Fri Sep 28 22:22:01 +0000 2018,1.0,0.0,0.0,1045800825715482625,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR",1,@CBS
